Дата;Чемпионат;Дома;Гости;Счет хозяев;Счет гостей;Ожидаемые голы (xG) Дома;Ожидаемые голы (xG) Гости;xG в створ (xGOT) Дома;xG в створ (xGOT) Гости;Владение мячом Дома;Владение мячом Гости;Удары в створ Дома;Удары в створ Гости;Угловые Дома;Угловые Гости;Желтые карточки Дома;Желтые карточки Гости;Красные карточки Дома;Красные карточки Гости;Коэффициенты П1;Коэффициенты Н;Коэффициенты П2
15.08.2025 22:00;АнглияПремьер-лига - Тур 1;Ливерпуль;Борнмут;4;2;2.21;1.7;3.05;0.82;0.61;0.39;10;3;6;7;1;2;0;0;1.3;6.2;9.2
16.08.2025 14:30;АнглияПремьер-лига - Тур 1;Астон Вилла;Ньюкасл Юнайтед;0;0;0.2;1.44;0.2;0.64;0.4;0.6;3;3;3;6;1;1;1;0;2.39;3.45;2.9
16.08.2025 17:00;АнглияПремьер-лига - Тур 1;Тоттенхэм;Бёрнли;3;0;2.32;0.93;2.6;1.07;0.67;0.33;6;4;6;5;0;0;0;0;1.55;4.1;6.2
16.08.2025 17:00;АнглияПремьер-лига - Тур 1;Сандерленд;Вест Хэм;3;0;0.68;0.56;1.76;0.37;0.37;0.63;5;4;5;7;0;1;0;0;3.4;3.15;2.27
16.08.2025 17:00;АнглияПремьер-лига - Тур 1;Брайтон;Фулхэм;1;1;1.47;0.76;1.02;0.73;0.5;0.5;4;2;4;3;3;3;0;0;1.84;3.7;4.2
16.08.2025 19:30;АнглияПремьер-лига - Тур 1;Вулверхэмптон;Манчестер Сити;0;4;0.56;2.46;0.74;2.27;0.42;0.58;3;4;4;5;1;2;0;0;6;4.3;1.54
17.08.2025 16:00;АнглияПремьер-лига - Тур 1;Челси;Кристал Пэлас;0;0;1.61;0.66;0.65;0.26;0.71;0.29;3;4;11;2;2;3;0;0;1.83;3.75;4.2
17.08.2025 16:00;АнглияПремьер-лига - Тур 1;Ноттингем Форест;Брентфорд;3;1;1.83;1.49;2.43;1.47;0.54;0.46;5;3;5;5;1;2;0;0;1.91;3.5;4.1
17.08.2025 18:30;АнглияПремьер-лига - Тур 1;Манчестер Юнайтед;Арсенал;0;1;1.52;1.3;0.75;1.21;0.61;0.39;7;3;3;4;1;4;0;0;3.95;3.7;1.93
18.08.2025 22:00;АнглияПремьер-лига - Тур 1;Лидс;Эвертон;1;0;2.14;0.8;1.07;0.1;0.54;0.46;3;1;7;2;0;2;0;0;2.32;3.25;3.2
22.08.2025 22:00;АнглияПремьер-лига - Тур 2;Вест Хэм;Челси;1;5;0.73;2.74;0.32;5.13;0.41;0.59;4;7;7;5;0;1;0;0;4.8;4;1.71
23.08.2025 14:30;АнглияПремьер-лига - Тур 2;Манчестер Сити;Тоттенхэм;0;2;1.55;1.11;0.64;2.08;0.61;0.39;4;5;7;2;1;4;0;0;1.52;4.8;5.6
23.08.2025 17:00;АнглияПремьер-лига - Тур 2;Брентфорд;Астон Вилла;1;0;1.22;1.2;1.36;0.14;0.24;0.76;2;2;2;9;1;2;0;0;3.2;3.45;2.23
23.08.2025 17:00;АнглияПремьер-лига - Тур 2;Борнмут;Вулверхэмптон;1;0;1.29;0.47;0.93;0.24;0.59;0.41;4;1;8;3;2;4;0;1;1.84;3.8;4.2
23.08.2025 17:00;АнглияПремьер-лига - Тур 2;Бёрнли;Сандерленд;2;0;1;0.78;1.58;0.7;0.42;0.58;2;1;4;3;0;1;0;0;2.37;3.15;3.25
23.08.2025 19:30;АнглияПремьер-лига - Тур 2;Арсенал;Лидс;5;0;2.88;0.17;2.77;0.14;0.68;0.32;5;1;2;2;0;2;0;0;1.35;5.2;8.2
24.08.2025 16:00;АнглияПремьер-лига - Тур 2;Эвертон;Брайтон;2;0;1.59;2.44;1.21;1.54;0.42;0.58;3;4;2;2;4;3;0;0;2.9;3.35;2.44
24.08.2025 16:00;АнглияПремьер-лига - Тур 2;Кристал Пэлас;Ноттингем Форест;1;1;1.1;0.93;0.83;0.26;0.42;0.58;4;1;1;3;3;3;0;0;2.38;3.3;3.1
24.08.2025 18:30;АнглияПремьер-лига - Тур 2;Фулхэм;Манчестер Юнайтед;1;1;1.76;1.62;1.38;0.55;0.52;0.48;4;3;9;6;1;1;0;0;3.35;3.55;2.13
25.08.2025 22:00;АнглияПремьер-лига - Тур 2;Ньюкасл Юнайтед;Ливерпуль;2;3;0.98;0.69;1.87;2.26;0.38;0.62;3;4;7;1;2;3;1;0;2.95;3.7;2.3
30.08.2025 14:30;АнглияПремьер-лига - Тур 3;Челси;Фулхэм;2;0;2.35;1.02;3.18;0.1;0.54;0.46;6;3;6;4;2;2;0;0;1.51;4.3;5.6
30.08.2025 17:00;АнглияПремьер-лига - Тур 3;Тоттенхэм;Борнмут;0;1;0.19;1.59;0.22;1.48;0.61;0.39;1;6;0;8;2;4;0;0;1.7;4;4.3
30.08.2025 17:00;АнглияПремьер-лига - Тур 3;Сандерленд;Брентфорд;2;1;1.54;1.19;1.08;1.45;0.54;0.46;3;4;3;4;3;2;0;0;2.8;3.25;2.48
30.08.2025 17:00;АнглияПремьер-лига - Тур 3;Манчестер Юнайтед;Бёрнли;3;2;3.63;1.2;2.18;1.66;0.62;0.38;6;3;7;1;1;5;0;0;1.33;5;8.4
30.08.2025 17:00;АнглияПремьер-лига - Тур 3;Вулверхэмптон;Эвертон;2;3;1.11;1.93;1.15;2.58;0.58;0.42;4;4;2;2;0;1;0;0;2.5;3.15;2.85
30.08.2025 19:30;АнглияПремьер-лига - Тур 3;Лидс;Ньюкасл Юнайтед;0;0;0.69;0.46;0.09;0.13;0.43;0.57;1;2;5;5;1;1;0;0;3.25;3.5;2.09
31.08.2025 16:00;АнглияПремьер-лига - Тур 3;Ноттингем Форест;Вест Хэм;0;3;0.73;2.42;0.29;3.29;0.58;0.42;3;8;9;7;0;0;0;0;1.67;3.75;4.9
31.08.2025 16:00;АнглияПремьер-лига - Тур 3;Брайтон;Манчестер Сити;2;1;2.29;1.82;3.07;1.1;0.36;0.64;7;3;3;2;2;2;0;0;3.9;3.85;1.8
31.08.2025 18:30;АнглияПремьер-лига - Тур 3;Ливерпуль;Арсенал;1;0;0.53;0.49;0.27;0.56;0.53;0.47;3;1;3;8;2;2;0;0;2.09;3.45;3.3
31.08.2025 21:00;АнглияПремьер-лига - Тур 3;Астон Вилла;Кристал Пэлас;0;3;1.14;2.65;1.01;2.45;0.58;0.42;4;4;10;1;2;3;0;0;1.89;3.55;3.9
13.09.2025 14:30;АнглияПремьер-лига - Тур 4;Арсенал;Ноттингем Форест;3;0;1.84;0.2;2.35;0.06;0.54;0.46;5;1;8;3;1;1;0;0;1.44;4.8;6.8
13.09.2025 17:00;АнглияПремьер-лига - Тур 4;Эвертон;Астон Вилла;0;0;2.08;0.54;0.29;0.13;0.48;0.52;2;1;10;3;3;3;0;0;2.65;3.15;2.8
13.09.2025 17:00;АнглияПремьер-лига - Тур 4;Фулхэм;Лидс;1;0;0.85;0.79;0.88;0.51;0.54;0.46;3;3;3;3;1;2;0;0;2.07;3.35;3.7
13.09.2025 17:00;АнглияПремьер-лига - Тур 4;Ньюкасл Юнайтед;Вулверхэмптон;1;0;1.56;0.5;1.75;0.37;0.57;0.43;4;3;9;4;1;4;0;0;1.36;5.2;8.4
13.09.2025 17:00;АнглияПремьер-лига - Тур 4;Кристал Пэлас;Сандерленд;0;0;1.77;0.36;1.36;0;0.56;0.44;6;0;5;3;1;1;0;0;1.69;3.65;5.4
13.09.2025 17:00;АнглияПремьер-лига - Тур 4;Борнмут;Брайтон;2;1;1.45;0.62;1.49;1.28;0.51;0.49;5;2;4;4;4;4;0;0;2.42;3.5;2.85
13.09.2025 19:30;АнглияПремьер-лига - Тур 4;Вест Хэм;Тоттенхэм;0;3;0.6;1.29;0.29;2.22;0.36;0.64;4;5;2;13;0;1;1;0;3.35;3.5;2.14
13.09.2025 22:00;АнглияПремьер-лига - Тур 4;Брентфорд;Челси;2;2;1.42;1.25;2.3;2.23;0.34;0.66;4;6;5;6;3;2;0;0;4.3;3.75;1.81
14.09.2025 16:00;АнглияПремьер-лига - Тур 4;Бёрнли;Ливерпуль;0;1;0.13;2.65;0;1.18;0.19;0.81;0;4;1;13;2;2;1;0;8;5.6;1.34
14.09.2025 18:30;АнглияПремьер-лига - Тур 4;Манчестер Сити;Манчестер Юнайтед;3;0;2.63;1.52;2.29;0.14;0.45;0.55;6;2;2;4;0;0;0;0;1.69;4.2;4.7
20.09.2025 14:30;АнглияПремьер-лига - Тур 5;Ливерпуль;Эвертон;2;1;0.9;0.71;1.17;0.57;0.57;0.43;3;2;5;4;2;3;0;0;1.52;4.8;6.4
20.09.2025 17:00;АнглияПремьер-лига - Тур 5;Вулверхэмптон;Лидс;1;3;1.79;0.49;1.31;1.55;0.56;0.44;6;4;4;0;1;1;0;0;3;3.1;2.6
20.09.2025 17:00;АнглияПремьер-лига - Тур 5;Вест Хэм;Кристал Пэлас;1;2;0.67;2.31;1.56;1.37;0.57;0.43;3;3;8;8;3;3;0;0;3.1;3.4;2.36
20.09.2025 17:00;АнглияПремьер-лига - Тур 5;Брайтон;Тоттенхэм;2;2;1.32;1.22;1.27;1.55;0.36;0.64;4;3;2;10;1;2;0;0;2.27;3.75;3.2
20.09.2025 17:00;АнглияПремьер-лига - Тур 5;Бёрнли;Ноттингем Форест;1;1;0.85;1.09;0.98;1.47;0.37;0.63;5;8;4;5;1;1;0;0;3.35;3.35;2.25
20.09.2025 19:30;АнглияПремьер-лига - Тур 5;Манчестер Юнайтед;Челси;2;1;1.84;0.42;1.87;0.59;0.41;0.59;4;1;5;5;2;5;1;1;2.7;3.8;2.6
20.09.2025 22:00;АнглияПремьер-лига - Тур 5;Фулхэм;Брентфорд;3;1;1;0.6;0.85;0.89;0.53;0.47;3;3;2;10;4;1;0;0;2.15;3.35;3.65
21.09.2025 16:00;АнглияПремьер-лига - Тур 5;Сандерленд;Астон Вилла;1;1;1.04;0.79;0.98;0.15;0.29;0.71;4;2;6;5;2;1;1;0;3.75;3.4;2.09
21.09.2025 16:00;АнглияПремьер-лига - Тур 5;Борнмут;Ньюкасл Юнайтед;0;0;0.46;0.14;0.26;0.1;0.56;0.44;2;1;5;2;2;1;0;0;2.35;3.35;3.2
21.09.2025 18:30;АнглияПремьер-лига - Тур 5;Арсенал;Манчестер Сити;1;1;0.88;0.87;1.23;1.11;0.67;0.33;3;3;11;1;1;2;0;0;2.08;3.7;3.7
